Shadow of a Doubt;1478865600;1478871900;BBC2
Love and Other Impossible Pursuits;1478892600;1478900100;RTL8
Dolores Claiborne;1478892600;1478902500;SBS9
Infiltrant;1478897400;1478903400;NPO3
Locke;1478898000;1478903100;Canvas
Bel Ami;1478900100;1478907600;RTL8
Eisenstein in Guanajuato;1478901300;1478907000;NPO2
Top Gun;1478902200;1478908500;"E&eacute;n"
The Dukes of Hazzard;1478902500;1478910000;SBS9
"Les d&eacute;ferlantes";1478905200;1478911380;TV5
St. Elmo's Fire;1478907600;1478914500;RTL8
